MaSV,Ky,XepLoai,DiemHocTap,DiemNoiQuy,DiemYThucCongDan,DiemYThucHoatDong,TongDiem
20210001,2023.1    ,Khá                                               ,15,21,22,18,76
20210002,2023.1    ,Khá                                               ,22,14,12,14,62
20210003,2023.1    ,Khá                                               ,10,18,24,11,63
20210004,2023.1    ,Khá                                               ,29,10,10,16,65
20210005,2023.1    ,Khá                                               ,12,15,15,16,58
20210006,2023.1    ,Khá                                               ,17,17,19,12,65
20210007,2023.1    ,Giỏi                                              ,27,24,19,17,87
20210008,2023.1    ,Khá                                               ,29,15,18,18,80
20210009,2023.1    ,Trung bình                                        ,10,15,14,10,49
20210010,2023.1    ,Trung bình                                        ,12,10,11,17,50
20210011,2023.1    ,Khá                                               ,16,15,17,17,65
20210012,2023.1    ,Trung bình                                        ,12,14,11,12,49
20210013,2023.1    ,Khá                                               ,14,22,24,12,72
20210014,2023.1    ,Khá                                               ,13,21,21,11,66
20210015,2023.1    ,Khá                                               ,16,16,18,18,68
20210016,2023.1    ,Khá                                               ,22,12,21,11,66
20210017,2023.1    ,Khá                                               ,19,22,11,10,62
20210018,2023.1    ,Giỏi                                              ,26,23,22,18,89
20210019,2023.1    ,Trung bình                                        ,11,11,10,15,47
20210020,2023.1    ,Khá                                               ,22,12,16,12,62
20210021,2023.1    ,Khá                                               ,16,22,22,14,74
20210022,2023.1    ,Khá                                               ,15,14,12,11,52
20210023,2023.1    ,Khá                                               ,23,22,17,15,77
20210024,2023.1    ,Khá                                               ,16,18,12,17,63
20210025,2023.1    ,Giỏi                                              ,28,15,22,17,82
20210026,2023.1    ,Khá                                               ,20,10,12,16,58
20210027,2023.1    ,Khá                                               ,14,23,12,14,63
20210028,2023.1    ,Khá                                               ,16,19,13,11,59
20210029,2023.1    ,Khá                                               ,26,22,10,11,69
20210030,2023.1    ,Khá                                               ,24,24,13,14,75
20210031,2023.1    ,Khá                                               ,14,13,16,15,58
20210032,2023.1    ,Giỏi                                              ,26,22,24,15,87
20210033,2023.1    ,Khá                                               ,24,13,15,13,65
20210034,2023.1    ,Khá                                               ,10,11,16,19,56
20210035,2023.1    ,Khá                                               ,17,14,10,14,55
20210036,2023.1    ,Khá                                               ,29,15,13,18,75
20210037,2023.1    ,Khá                                               ,14,11,16,11,52
20210038,2023.1    ,Khá                                               ,14,15,17,12,58
20210039,2023.1    ,Khá                                               ,20,22,17,19,78
20210040,2023.1    ,Khá                                               ,26,13,17,11,67
20210041,2023.1    ,Khá                                               ,11,23,11,16,61
20210042,2023.1    ,Khá                                               ,25,17,22,12,76
20210043,2023.1    ,Khá                                               ,16,18,19,17,70
20210044,2023.1    ,Giỏi                                              ,23,22,23,13,81
20210045,2023.1    ,Khá                                               ,21,13,12,16,62
20210046,2023.1    ,Khá                                               ,10,22,11,18,61
20210047,2023.1    ,Giỏi                                              ,24,17,23,18,82
20210048,2023.1    ,Khá                                               ,17,11,11,16,55
20210049,2023.1    ,Khá                                               ,24,20,14,17,75
20210050,2023.1    ,Khá                                               ,10,21,17,15,63
20220001,2023.1    ,Khá                                               ,11,24,19,18,72
20220002,2023.1    ,Khá                                               ,25,11,16,12,64
20220003,2023.1    ,Khá                                               ,23,17,13,11,64
20220004,2023.1    ,Khá                                               ,13,13,14,13,53
20220005,2023.1    ,Khá                                               ,18,11,13,17,59
20220006,2023.1    ,Khá                                               ,15,21,18,13,67
20220007,2023.1    ,Khá                                               ,12,14,18,10,54
20220008,2023.1    ,Khá                                               ,10,23,16,17,66
20220009,2023.1    ,Khá                                               ,16,16,15,18,65
20220010,2023.1    ,Khá                                               ,29,11,11,14,65
20220011,2023.1    ,Khá                                               ,20,22,17,12,71
20220012,2023.1    ,Khá                                               ,11,24,24,14,73
20220013,2023.1    ,Khá                                               ,14,10,13,19,56
20220014,2023.1    ,Khá                                               ,28,21,16,14,79
20220015,2023.1    ,Khá                                               ,14,13,19,11,57
20220016,2023.1    ,Khá                                               ,23,19,19,19,80
20220017,2023.1    ,Khá                                               ,29,14,13,12,68
20220018,2023.1    ,Khá                                               ,12,12,19,19,62
20220019,2023.1    ,Khá                                               ,11,10,19,17,57
20220020,2023.1    ,Khá                                               ,10,24,21,12,67
20220021,2023.1    ,Khá                                               ,20,11,17,12,60
20220022,2023.1    ,Giỏi                                              ,25,23,22,17,87
20220023,2023.1    ,Khá                                               ,11,21,18,19,69
20220024,2023.1    ,Khá                                               ,10,16,24,18,68
20220025,2023.1    ,Khá                                               ,13,11,23,15,62
20220026,2023.1    ,Khá                                               ,29,11,16,11,67
20220027,2023.1    ,Khá                                               ,11,21,20,12,64
20220028,2023.1    ,Khá                                               ,18,23,17,15,73
20220029,2023.1    ,Khá                                               ,11,22,18,12,63
20220030,2023.1    ,Khá                                               ,15,14,15,19,63
20220031,2023.1    ,Khá                                               ,23,14,24,14,75
20220032,2023.1    ,Khá                                               ,18,20,24,17,79
20220033,2023.1    ,Khá                                               ,27,13,24,10,74
20220034,2023.1    ,Khá                                               ,11,17,15,17,60
20220035,2023.1    ,Khá                                               ,14,17,14,18,63
20220036,2023.1    ,Khá                                               ,13,15,16,15,59
20220037,2023.1    ,Khá                                               ,27,21,14,11,73
20220038,2023.1    ,Khá                                               ,25,14,12,19,70
20220039,2023.1    ,Khá                                               ,26,21,14,18,79
20220040,2023.1    ,Khá                                               ,28,14,24,12,78
20220041,2023.1    ,Khá                                               ,10,15,22,10,57
20220042,2023.1    ,Khá                                               ,10,23,21,19,73
20220043,2023.1    ,Khá                                               ,22,17,13,18,70
20220044,2023.1    ,Giỏi                                              ,28,21,15,18,82
20220045,2023.1    ,Khá                                               ,14,19,10,11,54
20220046,2023.1    ,Khá                                               ,25,18,12,19,74
20220047,2023.1    ,Khá                                               ,18,24,13,16,71
20220048,2023.1    ,Khá                                               ,19,23,11,15,68
20220049,2023.1    ,Khá                                               ,24,10,16,11,61
20220050,2023.1    ,Khá                                               ,25,10,20,14,69
20220051,2023.1    ,Khá                                               ,24,19,12,19,74
20220052,2023.1    ,Khá                                               ,16,21,23,16,76
20220053,2023.1    ,Khá                                               ,26,19,11,13,69
20220054,2023.1    ,Khá                                               ,26,11,16,19,72
20220055,2023.1    ,Khá                                               ,16,22,19,10,67
20220056,2023.1    ,Khá                                               ,18,13,24,10,65
20220057,2023.1    ,Khá                                               ,17,17,19,12,65
20220058,2023.1    ,Khá                                               ,19,15,15,14,63
20220059,2023.1    ,Khá                                               ,21,23,19,11,74
20220060,2023.1    ,Khá                                               ,26,18,18,13,75
20220061,2023.1    ,Khá                                               ,16,17,16,14,63
20220062,2023.1    ,Khá                                               ,12,22,10,12,56
20220063,2023.1    ,Khá                                               ,11,19,13,13,56
20220064,2023.1    ,Khá                                               ,17,22,22,19,80
20220065,2023.1    ,Khá                                               ,27,11,22,11,71
20220066,2023.1    ,Khá                                               ,24,19,15,14,72
20220067,2023.1    ,Khá                                               ,22,11,11,17,61
20220068,2023.1    ,Khá                                               ,12,18,23,12,65
20220069,2023.1    ,Khá                                               ,13,12,21,19,65
20220070,2023.1    ,Khá                                               ,13,13,19,16,61
20220071,2023.1    ,Khá                                               ,22,23,18,17,80
20220072,2023.1    ,Khá                                               ,27,17,17,15,76
20220073,2023.1    ,Khá                                               ,25,14,15,14,68
20220074,2023.1    ,Khá                                               ,18,24,16,18,76
20220075,2023.1    ,Khá                                               ,22,22,23,12,79
20220076,2023.1    ,Trung bình                                        ,10,10,18,12,50
20220077,2023.1    ,Khá                                               ,18,11,17,15,61
20220078,2023.1    ,Khá                                               ,25,15,24,14,78
20220079,2023.1    ,Khá                                               ,22,18,10,13,63
20220080,2023.1    ,Khá                                               ,20,17,15,19,71
20220081,2023.1    ,Khá                                               ,10,11,17,14,52
20220082,2023.1    ,Khá                                               ,15,21,21,13,70
20220083,2023.1    ,Trung bình                                        ,11,10,10,19,50
20220084,2023.1    ,Khá                                               ,22,17,18,15,72
20220085,2023.1    ,Khá                                               ,18,16,11,15,60
20220086,2023.1    ,Khá                                               ,14,22,17,11,64
20220087,2023.1    ,Khá                                               ,23,16,14,11,64
20220088,2023.1    ,Khá                                               ,27,23,10,15,75
20220089,2023.1    ,Khá                                               ,20,22,10,17,69
20220090,2023.1    ,Khá                                               ,19,13,11,10,53
20220091,2023.1    ,Khá                                               ,17,15,20,12,64
20220092,2023.1    ,Khá                                               ,22,16,23,15,76
20220093,2023.1    ,Khá                                               ,17,22,14,18,71
20220094,2023.1    ,Khá                                               ,28,19,10,19,76
20220095,2023.1    ,Khá                                               ,15,22,10,12,59
20220096,2023.1    ,Khá                                               ,22,11,22,16,71
20220097,2023.1    ,Khá                                               ,14,19,17,13,63
20220098,2023.1    ,Khá                                               ,13,18,21,11,63
20220099,2023.1    ,Giỏi                                              ,27,14,21,19,81
20220100,2023.1    ,Giỏi                                              ,26,13,24,18,81
20220101,2023.1    ,Khá                                               ,28,19,15,18,80
20220102,2023.1    ,Khá                                               ,28,18,20,14,80
20220103,2023.1    ,Khá                                               ,14,17,17,14,62
20220104,2023.1    ,Khá                                               ,11,12,20,15,58
20220105,2023.1    ,Khá                                               ,15,10,12,16,53
20220106,2023.1    ,Khá                                               ,13,16,13,12,54
20220107,2023.1    ,Khá                                               ,25,11,14,13,63
20220108,2023.1    ,Khá                                               ,20,11,23,12,66
20220109,2023.1    ,Giỏi                                              ,27,15,24,15,81
20220110,2023.1    ,Khá                                               ,12,13,20,16,61
20220111,2023.1    ,Khá                                               ,16,17,14,16,63
20220112,2023.1    ,Khá                                               ,29,10,22,17,78
20220113,2023.1    ,Khá                                               ,20,13,22,11,66
20220114,2023.1    ,Khá                                               ,14,20,11,18,63
20220115,2023.1    ,Giỏi                                              ,29,18,22,16,85
20220116,2023.1    ,Khá                                               ,10,20,11,18,59
20220117,2023.1    ,Khá                                               ,16,24,22,13,75
20220118,2023.1    ,Khá                                               ,20,14,11,11,56
20220119,2023.1    ,Giỏi                                              ,25,23,22,19,89
20220120,2023.1    ,Khá                                               ,23,18,15,15,71
20220121,2023.1    ,Khá                                               ,22,13,10,18,63
20220122,2023.1    ,Giỏi                                              ,24,21,23,19,87
20220123,2023.1    ,Khá                                               ,21,21,21,15,78
20220124,2023.1    ,Khá                                               ,25,24,15,13,77
20220125,2023.1    ,Khá                                               ,11,18,11,11,51
20220126,2023.1    ,Giỏi                                              ,24,22,23,13,82
